D-Logic生データナレッジファイル構築完了レポート V2
============================================================
完了時刻: 2025-08-08 16:33:25
処理時間: 0.4時間（23.6分）

[最終結果]
収録馬数: 37,878頭
スキップ: 0頭（3走未満）
エラー: 6件
JSONファイルサイズ: 149.1MB

[収録データ仕様]
- 対象期間: 2020-2025年
- 収録条件: 3走以上
- データ内容: 各馬の最新5走（最大）の生データ
- 用途: D-Logic12項目分析の計算元データ

[収録馬一覧]（アルファベット順）
------------------------------------------------------------
  329. アウトザブルー                        5走 最終出走: 2021/11/04
  330. アウトスタンディン                      4走 最終出走: 2021/06/21
  331. アウトストラーダ                       5走 最終出走: 2023/08/17
  332. アウトセイル                         5走 最終出走: 2024/08/25
  333. アウトドライブ                        5走 最終出走: 2025/06/22
  334. アウトパフォーム                       5走 最終出走: 2024/10/21
  335. アウトビアンキ                        5走 最終出走: 2025/02/19
  336. アウトライアーズ                       5走 最終出走: 2020/09/27
  337. アウトラン                          5走 最終出走: 2021/08/06
  338. アウトリーチ                         3走 最終出走: 2023/07/12
  339. アウトレイジング                       5走 最終出走: 2025/01/26
  340. アウトレンジ                         5走 最終出走: 2025/07/02
  341. アウフヘーベン                        5走 最終出走: 2025/07/05
  342. アウフヴィント                        5走 最終出走: 2025/07/12
  343. アウマクア                          5走 最終出走: 2022/07/26
  344. アウラヴィータ                        5走 最終出走: 2021/02/27
  345. アウリイ                           5走 最終出走: 2022/11/15
  346. アウリガテソーロ                       5走 最終出走: 2024/02/17
  347. アウリッシュ                         5走 最終出走: 2021/06/26
  348. アウルムレガリア                       5走 最終出走: 2025/06/21
  349. アウロス                           5走 最終出走: 2025/06/15
  350. アウローラシエル                       5走 最終出走: 2025/07/20
  351. アウローラルミエル                      5走 最終出走: 2025/04/02
  352. アウワ                            5走 最終出走: 2023/10/23
  353. アエディフィカータ                      5走 最終出走: 2024/03/06
  354. アエノエンペラー                       5走 最終出走: 2022/05/12
  355. アエノコクオウ                        3走 最終出走: 2024/11/06
  356. アエノジュピター                       3走 最終出走: 2024/10/20
  357. アエノブライアン                       5走 最終出走: 2023/08/14
  358. アエノプロミネンス                      3走 最終出走: 2024/02/21
  359. アエノライアン                        5走 最終出走: 2023/01/29
  360. アエリアン                          5走 最終出走: 2023/08/22
  361. アエリーゾ                          5走 最終出走: 2024/11/09
  362. アエル                            4走 最終出走: 2024/12/22
  363. アエロプラニーノ                       5走 最終出走: 2024/05/19
  364. アエローザ                          4走 最終出走: 2020/10/17
  365. アオアラシ                          5走 最終出走: 2023/08/11
  366. アオイアイ                          3走 最終出走: 2025/07/13
  367. アオイアツヒメ                        5走 最終出走: 2024/12/10
  368. アオイアルファワン                      5走 最終出走: 2025/04/26
  369. アオイイーグル                        5走 最終出走: 2025/05/31
  370. アオイウィンダム                       5走 最終出走: 2025/05/25
  371. アオイエクラタン                       5走 最終出走: 2024/03/16
  372. アオイカゲ                          5走 最終出走: 2023/10/02
  373. アオイカツマ                         5走 最終出走: 2023/11/03
  374. アオイクレアトール                      5走 最終出走: 2023/06/25
  375. アオイコウキ                         5走 最終出走: 2025/01/25
  376. アオイゴールド                        5走 最終出走: 2023/07/08
  377. アオイゴールドワン                      5走 最終出走: 2024/04/21
  378. アオイサクラ                         5走 最終出走: 2024/04/20
  379. アオイサロン                         5走 最終出走: 2023/09/03
  380. アオイサンゴショウ                      4走 最終出走: 2020/04/25
  381. アオイシチフク                        5走 最終出走: 2022/03/27
  382. アオイシャーク                        5走 最終出走: 2021/12/08
  383. アオイショー                         5走 最終出走: 2022/11/27
  384. アオイシン                          5走 最終出走: 2024/09/30
  385. アオイシンゴ                         5走 最終出走: 2023/04/23
  386. アオイスイセイ                        5走 最終出走: 2024/05/17
  387. アオイスター                         5走 最終出走: 2020/11/01
  388. アオイスーパー                        5走 最終出走: 2020/10/30
  389. アオイタケル                         3走 最終出走: 2025/07/12
  390. アオイダリア                         4走 最終出走: 2023/06/03
  391. アオイツキ                          5走 最終出走: 2025/05/18
  392. アオイツヤヒメ                        5走 最終出走: 2022/04/16
  393. アオイテン                          3走 最終出走: 2023/10/28
  394. アオイトランプ                        5走 最終出走: 2024/03/03
  395. アオイナギサ                         5走 最終出走: 2023/01/18
  396. アオイハナミチ                        5走 最終出走: 2025/06/07
  397. アオイフェリーチェ                      5走 最終出走: 2023/12/27
  398. アオイフォトグラフ                      3走 最終出走: 2025/05/04
  399. アオイフォール                        5走 最終出走: 2024/11/10
  400. アオイマコト                         5走 最終出走: 2024/11/19
  401. アオイマジェスティ                      5走 最終出走: 2022/05/06
  402. アオイミモザ                         5走 最終出走: 2025/05/24
  403. アオイメルスイ                        5走 最終出走: 2025/04/19
  404. アオイモエ                          5走 最終出走: 2022/10/16
  405. アオイモン                          5走 最終出走: 2022/10/31
  406. アオイラブリー                        5走 最終出走: 2025/04/26
  407. アオイラリュヌ                        5走 最終出走: 2024/08/06
  408. アオイラン                          5走 最終出走: 2024/08/31
  409. アオイリキマル                        5走 最終出走: 2024/05/24
  410. アオイレーギーナ                       5走 最終出走: 2025/07/20
  411. アオカチ                           5走 最終出走: 2021/11/30
  412. アオカミ                           5走 最終出走: 2025/05/04
  413. アオシロツルバミ                       3走 最終出走: 2023/03/11
  414. アオスタ                           5走 最終出走: 2020/10/16
  415. アオテン                           5走 最終出走: 2021/01/05
  416. アオバノキセキ                        3走 最終出走: 2024/12/23
  417. アオユウスター                        5走 最終出走: 2025/04/10
  418. アオラキ                           5走 最終出走: 2025/03/18
  419. アオレレ                           5走 最終出走: 2024/08/10
  420. アカイイト                          5走 最終出走: 2022/12/25
  421. アカイツキ                          4走 最終出走: 2025/04/19
  422. アカイツメ                          4走 最終出走: 2025/01/06
  423. アカイトリノムスメ                      5走 最終出走: 2022/04/09
  424. アカイハネ                          4走 最終出走: 2020/03/17
  425. アカオー                           4走 最終出走: 2025/06/14
  426. アカカゲ                           5走 最終出走: 2022/07/17
  427. アカキチノイレブン                      5走 最終出走: 2024/09/04
  428. アカクマドリ                         5走 最終出走: 2023/03/03
  429. アカサカココア                        5走 最終出走: 2023/05/18
  430. アカサンピン                         4走 最終出走: 2022/10/15
  431. アカザ                            5走 最終出走: 2024/10/20
  432. アカズキンチャン                       3走 最終出走: 2022/09/29
  433. アカツキ                           5走 最終出走: 2022/02/10
  434. アカツキジョー                        5走 最終出走: 2021/03/28
  435. アカツキスワロー                       3走 最終出走: 2024/09/03
  436. アカツキリンダ                        3走 最終出走: 2020/10/05
  437. アカツキロットリー                      5走 最終出走: 2025/04/20
  438. アカデミー                          3走 最終出走: 2021/12/18
